 	3325
!	22
$	2
%	62
&	49
'	30
(	55
)	65
*	13
+	53
,	9
-	517
.	527
/	67
0	3839
1	3722
2	2684
3	2147
4	1179
5	1977
6	1781
7	2006
8	2666
9	1628
:	282
;	5
<	1
=	3
>	1
?	4
@	13
A	2001
B	571
C	1298
D	603
E	2077
F	592
G	891
H	910
I	1718
J	168
K	345
L	1102
M	804
N	1618
O	1465
P	756
Q	111
R	1286
S	1313
T	1283
U	756
V	315
W	514
X	267
Y	469
Z	142
[	2
\	3
]	4
^	3
_	1
a	1698
b	187
c	644
d	513
e	2145
f	244
g	451
h	565
i	1610
j	40
k	295
l	803
m	675
n	1588
o	1510
p	361
q	30
r	1063
s	953
t	1088
u	700
v	185
w	347
x	103
y	432
z	72
|	25
~	17
¥	27
®	19
°	4
²	4
·	383
×	7
Λ	1
—	57
‘	2
’	4
“	70
”	68
…	11
℃	1
Ⅱ	3
√	12
≠	1
≥	1
●	12
、	316
。	233
〇	1
《	23
》	21
【	9
】	10
㎡	4
㷛	1
一	711
丁	20
七	46
万	148
丈	1
三	283
上	397
下	187
不	332
与	81
丑	6
专	232
世	141
丘	3
丙	4
业	505
丛	1
东	236
丝	36
丢	4
两	51
严	86
个	165
丫	2
中	1122
丰	35
串	22
临	123
丸	3
丹	12
为	151
主	225
丽	98
举	10
乃	1
久	8
么	27
义	79
之	134
乌	7
乍	1
乎	7
乐	311
乒	1
乓	2
乔	10
乖	4
乘	11
乙	8
九	82
也	39
习	32
乡	26
书	80
买	57
乱	22
乳	19
了	143
予	5
争	12
事	129
二	267
于	58
亏	7
云	42
互	19
五	148
井	21
亚	29
些	3
亡	2
交	89
亥	8
亦	5
产	140
亨	4
享	93
京	49
亭	12
亮	18
亲	34
人	583
亿	8
什	16
仁	21
仅	23
今	25
介	11
从	37
仑	6
仓	50
仔	19
仕	26
他	50
仗	1
付	83
仙	113
仞	1
仟	16
代	126
令	12
以	118
仪	14
们	60
仰	2
仲	1
件	102
价	239
任	57
份	55
仿	1
企	31
伊	18
伍	4
伏	5
休	50
众	45
优	108
伙	13
会	293
伞	9
伟	19
传	82
伤	13
伦	7
伯	2
估	4
伴	21
伸	4
似	4
伽	9
佃	1
但	5
位	97
低	42
住	90
佐	2
佑	2
体	140
何	16
余	15
佛	9
作	127
佟	1
你	226
佣	3
佩	4
佬	3
佰	7
佳	97
使	54
來	2
侈	2
例	5
侍	1
供	57
依	25
侣	3
侧	6
侨	6
侬	3
侯	3
便	62
促	20
俄	1
俊	3
俏	2
保	249
信	283
俪	1
俭	9
修	134
俱	19
俺	2
個	1
倍	13
倒	8
候	16
倚	4
借	14
倡	1
倦	1
倩	2
倪	1
债	1
值	104
倾	7
假	37
偉	1
偏	4
做	97
停	133
健	129
偷	1
偿	12
傅	12
储	51
催	1
傲	3
傳	1
傻	6
像	25
僵	2
儒	2
儿	93
允	6
元	576
兄	17
充	54
兆	12
先	71
光	472
克	62
免	123
兑	13
兔	4
党	22
兜	3
入	151
全	455
八	84
公	539
六	69
兮	1
兰	40
共	103
关	101
兴	88
兵	10
其	28
具	113
典	45
兹	2
养	133
兼	14
兽	6
内	143
冈	3
册	9
再	35
冒	7
冕	1
写	25
军	41
农	103
冠	18
冤	1
冬	15
冯	2
冰	92
冲	15
决	14
况	7
冶	13
冷	38
冻	6
净	57
准	40
凉	59
凌	11
减	33
凝	6
几	9
凡	16
凤	24
凭	4
凯	17
凰	6
凳	2
出	292
击	12
函	1
刀	11
刁	1
分	161
切	15
刊	5
刑	1
划	13
列	32
刘	22
则	10
刚	4
创	170
初	29
删	2
刨	1
利	159
刪	2
别	54
刮	7
到	92
制	134
刷	27
券	37
刹	1
刺	6
刻	30
剂	12
剃	1
削	2
前	90
剑	9
剧	17
剩	3
剪	28
副	49
割	2
創	1
劈	1
劉	2
力	221
劝	1
办	161
功	33
加	176
务	307
动	310
助	109
努	6
励	6
劲	4
劳	27
劵	1
势	9
勃	2
勇	12
勉	1
勋	3
勒	3
動	1
勘	2
務	1
募	12
勤	42
勾	3
勿	66
匀	3
包	190
化	171
北	185
匙	10
匠	5
匹	9
区	277
医	134
區	1
十	109
千	75
升	63
午	36
卉	2
半	16
华	227
协	15
卑	2
卓	28
单	104
卖	109
南	158
博	30
卜	5
占	8
卡	142
卤	21
卧	1
卫	86
印	68
危	37
即	54
却	2
卷	29
卸	1
卿	1
厂	64
厅	115
历	15
厉	1
压	40
厌	1
厍	2
厕	2
厘	4
厚	12
原	85
厢	2
厦	18
厨	43
去	34
县	31
叁	1
参	32
又	15
叉	5
及	45
友	125
双	60
反	14
发	326
叔	3
取	52
受	39
变	31
叟	1
口	253
古	61
句	4
另	2
只	44
叫	10
召	5
叭	2
叮	1
可	174
台	124
史	10
右	14
叶	31
号	209
司	245
叹	1
叼	1
吃	112
各	48
吆	2
合	105
吉	160
吊	24
同	174
名	248
后	75
吐	4
向	52
吓	4
吕	2
吗	15
君	15
吞	1
否	5
吧	86
吨	3
含	53
听	26
启	18
吴	57
吵	1
吸	40
吹	6
吻	1
吼	3
吾	6
呀	9
呆	7
呈	3
告	88
呐	2
呕	1
呗	1
员	147
呜	2
呢	1
呦	5
周	93
味	238
呵	5
呷	1
呼	7
命	34
咋	2
和	186
咏	4
咔	3
咖	78
咚	5
咨	63
咪	6
咬	2
咯	4
咱	2
咸	4
品	591
哄	2
哇	3
哈	56
哉	1
响	7
哎	2
哒	2
哗	1
哟	1
哥	20
哦	5
哩	1
哪	7
哭	2
哮	1
哲	2
唆	1
唇	3
唉	1
唐	13
唑	2
唤	6
售	104
唯	11
唱	7
啄	3
商	269
啊	26
啡	61
啤	29
啥	5
啦	22
啪	1
喀	1
喂	3
善	60
喇	1
喉	1
喔	3
喘	1
喜	127
喝	53
喧	1
喱	1
喵	1
喷	8
喻	29
喽	1
嗒	4
嗨	6
嗯	2
嘀	3
嘉	33
嘟	2
嘲	1
嘴	15
嘶	1
嘻	1
嘿	3
噁	1
噗	1
噜	2
噢	1
器	82
嚒	2
囊	3
囍	3
四	117
回	62
因	20
团	124
园	284
困	11
围	29
固	6
国	908
图	48
圆	36
圈	20
國	9
園	3
圖	1
團	2
土	51
圣	30
在	190
地	398
圳	2
场	273
圾	9
址	87
坂	1
均	15
坊	63
坏	15
坐	16
块	15
坚	5
坛	14
坝	3
坞	2
坠	3
坡	7
坤	3
坦	1
坪	10
垂	6
垃	9
型	94
垒	4
垩	1
垫	6
埃	3
埋	1
城	347
埔	1
域	26
埠	9
培	52
基	68
堂	94
堆	6
堡	28
堤	8
堰	1
報	2
場	2
堵	2
塊	1
塑	21
塔	13
塘	2
塞	7
填	4
境	56
墅	11
墓	1
墙	13
增	10
墨	4
墩	1
壁	8
壇	1
士	60
壮	3
声	32
壳	9
壶	3
壹	9
壽	1
处	115
备	42
复	110
夏	59
夕	13
外	112
多	184
夜	33
够	10
夢	1
大	727
天	381
太	64
夫	30
央	17
夯	1
失	15
头	88
夹	18
夺	3
奇	65
奈	1
奉	18
奋	2
契	1
奔	16
奕	2
奖	40
套	59
奠	1
奢	10
奥	30
女	92
奴	2
奶	86
她	6
好	272
如	82
妃	3
妄	1
妆	50
妇	25
妈	19
妊	2
妍	2
妙	2
妞	3
妥	2
妨	1
妮	9
妹	11
妻	2
姆	5
始	27
姐	14
姑	8
姓	13
委	42
姚	1
姜	2
姨	5
姬	1
姿	12
威	32
娃	19
娄	1
娅	6
娇	11
娘	13
娜	10
娟	4
娠	2
娥	3
娱	29
娶	2
婆	14
婚	33
婦	1
婴	21
婵	1
婷	4
婺	1
婿	2
媒	8
媚	2
媛	13
媳	3
嫁	2
嫒	1
嫩	8
嬉	3
子	239
孔	13
孕	8
字	47
存	41
孙	2
孚	2
孝	10
季	50
孤	2
学	373
孩	20
孫	1
孵	1
學	2
宁	31
它	9
宅	23
宇	30
守	42
安	377
宋	4
完	24
宏	26
宗	31
官	27
宙	1
定	116
宜	18
宝	189
实	128
宠	8
审	9
客	177
宣	89
室	121
宪	3
宫	13
害	6
宴	29
宵	10
家	642
宸	1
容	79
宽	31
宾	56
宿	54
寂	5
寄	18
寅	2
密	27
寇	1
富	113
寒	11
寓	12
寞	5
察	8
實	1
寧	2
寨	18
寰	2
寳	6
寶	13
寸	3
对	68
寺	4
寻	13
导	54
寿	30
封	23
射	11
将	40
尊	19
小	490
少	41
尔	77
尖	14
尘	3
尚	155
尝	8
尤	3
就	109
尸	2
尹	1
尺	2
尼	21
尽	18
尾	6
尿	9
局	99
层	42
居	98
屈	13
届	14
屋	54
屌	3
屎	4
屏	12
展	69
属	32
履	3
屯	30
山	222
屹	1
岁	35
岐	1
岔	1
岗	19
岚	2
岛	45
岩	4
岭	20
岱	2
岳	8
岸	8
峡	6
峨	1
峯	1
峰	18
崇	7
崋	5
崔	2
崛	2
崧	2
崩	1
崴	1
嵌	1
巅	4
川	121
州	162
巡	8
巢	2
工	315
左	11
巧	21
巨	16
巩	1
差	3
己	22
已	36
巴	46
巷	29
巾	9
币	16
市	516
布	58
帅	14
帆	9
师	69
希	23
帐	2
帕	8
帖	1
